itemID,forbidRule
6724,위탁수하물 O
6765,기내휴대 O
6698,위탁수하물 X
6800,기내휴대 X
6824,특별조항
6763,위탁수하물 O
6758,위탁수하물 O
6791,위탁수하물 X
6801,기내휴대 O
6779,기내휴대 O
6864,위탁수하물 X
6896,기내휴대 X
6879,기내휴대 O
6747,기내휴대 O
6831,위탁수하물 O
872,기내휴대 X
871,기내휴대 X
955,특별조항
963,기내휴대 X
963,위탁수하물 O
971,특별조항
982,기내휴대 O
990,기내휴대 X
1003,기내휴대 X
666,기내휴대 X
665,기내휴대 X
691,항공사 승인
731,위탁수하물 O
763,위탁수하물 O
723,기내휴대 X
729,기내휴대 O
759,위탁수하물 O
715,기내휴대 O
734,위탁수하물 O
783,기내휴대 O
908,기내휴대 X
921,위탁수하물 O
947,위탁수하물 O
775,기내휴대 X
1009,기내휴대 X
786,기내휴대 O
795,위탁수하물 X
938,기내휴대 O
808,위탁수하물 X
916,기내휴대 O
797,기내휴대 O
947,기내휴대 X
959,특별조항
6413,기내휴대 O
6424,위탁수하물 O
6569,기내휴대 O
6576,기내휴대 O
6589,기내휴대 O
6491,특별조항
6597,위탁수하물 O
6615,위탁수하물 X
6646,위탁수하물 O
6653,위탁수하물 O
6592,기내휴대 O
6670,위탁수하물 O
6423,기내휴대 O
6466,위탁수하물 O
6451,위탁수하물 O
6458,기내휴대 O
6483,기내휴대 O
6498,특별조항
6505,위탁수하물 O
6514,기내휴대 X
6508,기내휴대 O
6547,기내휴대 O
6525,위탁수하물 O
6541,기내휴대 O
6418,기내휴대 O
6640,위탁수하물 O
6696,기내휴대 O
6417,기내휴대 O
6692,특별조항
6717,기내휴대 X
6732,기내휴대 O
6751,기내휴대 O
6760,기내휴대 X
6776,위탁수하물 O
6798,기내휴대 O
6761,위탁수하물 X
6826,기내휴대 O
6778,위탁수하물 O
6771,기내휴대 O
6833,기내휴대 O
6861,기내휴대 X
6892,위탁수하물 O
6895,기내휴대 O
6865,기내휴대 X
6831,기내휴대 O
6796,기내휴대 O
6789,특별조항
6835,위탁수하물 O
6837,위탁수하물 O
6869,특별조항
6892,특별조항
6881,위탁수하물 O
877,기내휴대 X
879,특별조항
874,위탁수하물 O
966,위탁수하물 O
965,특별조항
986,위탁수하물 O
994,기내휴대 X
672,기내휴대 X
674,위탁수하물 O
672,위탁수하물 O
685,기내휴대 X
682,기내휴대 O
673,위탁수하물 O
691,위탁수하물 O
715,위탁수하물 X
683,위탁수하물 O
724,기내휴대 O
723,위탁수하물 X
719,기내휴대 O
725,위탁수하물 O
735,위탁수하물 O
728,기내휴대 O
728,위탁수하물 O
750,위탁수하물 O
730,위탁수하물 O
754,기내휴대 O
759,기내휴대 X
762,위탁수하물 O
764,기내휴대 X
729,위탁수하물 X
732,위탁수하물 O
730,기내휴대 O
719,위탁수하물 X
727,위탁수하물 O
770,특별조항
737,기내휴대 X
753,특별조항
748,위탁수하물 O
899,기내휴대 X
769,위탁수하물 O
766,기내휴대 X
770,기내휴대 O
906,위탁수하물 O
888,기내휴대 X
911,기내휴대 X
761,위탁수하물 X
916,항공사 승인
756,위탁수하물 X
930,기내휴대 O
924,기내휴대 O
783,위탁수하물 O
1012,기내휴대 X
777,위탁수하물 X
786,위탁수하물 O
785,위탁수하물 O
781,기내휴대 X
784,위탁수하물 O
794,위탁수하물 O
943,특별조항
922,위탁수하물 O
948,특별조항
5458,기내휴대 O
951,기내휴대 O
945,특별조항
806,위탁수하물 O
824,기내휴대 O
904,항공사 승인
839,특별조항
768,위탁수하물 X
813,기내휴대 X
1004,기내휴대 X
830,위탁수하물 O
910,기내휴대 X
928,위탁수하물 X
1006,기내휴대 O
1008,기내휴대 O
1013,특별조항
6415,기내휴대 O
6421,위탁수하물 O
6560,위탁수하물 O
6579,기내휴대 O
6595,특별조항
6600,기내휴대 O
6612,위탁수하물 O
6619,위탁수하물 O
6650,기내휴대 X
6655,기내휴대 O
6658,위탁수하물 O
6665,위탁수하물 X
6437,기내휴대 O
6431,위탁수하물 O
6435,기내휴대 X
6468,위탁수하물 O
6480,기내휴대 O
6505,특별조항
6511,위탁수하물 O
6508,위탁수하물 O
6542,기내휴대 X
6622,기내휴대 X
6539,특별조항
6502,위탁수하물 O
6548,기내휴대 O
6699,특별조항
6418,위탁수하물 O
6677,기내휴대 X
6722,위탁수하물 O
6702,기내휴대 O
6753,위탁수하물 X
6741,기내휴대 O
6759,위탁수하물 O
6802,위탁수하물 O
6824,기내휴대 O
6534,기내휴대 O
6754,위탁수하물 O
6771,위탁수하물 O
6829,위탁수하물 O
6817,위탁수하물 O
6854,위탁수하물 O
6857,기내휴대 O
6898,기내휴대 O
6866,기내휴대 O
6847,위탁수하물 O
6841,위탁수하물 O
6845,기내휴대 X
6849,위탁수하물 O
6730,기내휴대 O
6732,위탁수하물 X
6878,기내휴대 O
950,위탁수하물 X
806,기내휴대 X
798,위탁수하물 O
815,위탁수하물 X
817,기내휴대 X
1021,위탁수하물 X
1013,위탁수하물 O
1012,위탁수하물 O
1026,특별조항
6415,특별조항
6449,위탁수하물 O
6568,기내휴대 O
6580,위탁수하물 O
6581,기내휴대 X
6599,기내휴대 O
6601,기내휴대 O
6617,특별조항
6515,위탁수하물 O
6650,위탁수하물 X
6663,위탁수하물 O
6672,기내휴대 O
6434,기내휴대 O
6450,기내휴대 O
6456,기내휴대 O
6440,위탁수하물 O
6480,위탁수하물 X
6484,기내휴대 X
6498,위탁수하물 X
6498,기내휴대 O
6537,기내휴대 O
6518,위탁수하물 O
6553,위탁수하물 O
6637,위탁수하물 O
6539,기내휴대 O
6494,기내휴대 O
6629,위탁수하물 O
6633,기내휴대 X
6633,위탁수하물 O
6623,위탁수하물 O
6538,기내휴대 O
6416,기내휴대 O
6687,기내휴대 O
6679,위탁수하물 O
6715,특별조항
6734,기내휴대 O
6748,기내휴대 X
6742,기내휴대 O
6755,위탁수하물 O
6797,위탁수하물 O
6784,위탁수하물 O
6772,위탁수하물 O
6489,위탁수하물 O
6555,기내휴대 O
6810,위탁수하물 O
6861,위탁수하물 O
6862,기내휴대 O
6892,기내휴대 O
6708,위탁수하물 O
6784,기내휴대 O
6897,특별조항
6794,기내휴대 O
6793,기내휴대 O
6822,기내휴대 O
6836,위탁수하물 X
6688,기내휴대 O
6899,위탁수하물 O
6881,특별조항
802,기내휴대 X
817,위탁수하물 O
820,기내휴대 X
1013,기내휴대 X
1011,위탁수하물 O
1019,항공사 승인
826,위탁수하물 O
832,위탁수하물 O
881,기내휴대 O
893,특별조항
1015,위탁수하물 O
831,기내휴대 O
896,특별조항
883,위탁수하물 O
903,위탁수하물 O
889,위탁수하물 X
795,기내휴대 X
926,위탁수하물 X
819,위탁수하물 O
805,위탁수하물 X
823,기내휴대 X
949,위탁수하물 O
926,기내휴대 X
1007,특별조항
941,위탁수하물 O
808,기내휴대 X
812,특별조항
907,위탁수하물 X
920,기내휴대 X
928,기내휴대 X
944,기내휴대 X
944,위탁수하물 X
941,기내휴대 X
1017,기내휴대 O
1016,위탁수하물 O
1059,기내휴대 X
1059,위탁수하물 O
